70s Chorus;Mono, Stereo;BOSS CE-1;1.00
PlastiChorus;Mono, Stereo;Modded Arion SCH-Z chorus;2.20
Ampeg Liquifier;Mono, Stereo;Ampeg Liquifier Chorus;3.15
Trinity Chorus;Stereo;Dytronics® Tri-Stereo Chorus;1.00
4-Voice Chorus;Mono, Stereo;Line 6 Original;3.50
Bubble Vibrato;Mono, Stereo;BOSS VB-2 Vibrato;1.00
Vibe Rotary;Stereo;Fender Vibratone;1.00
122 Rotary;Stereo;Leslie® 122;1.00
145 Rotary;Stereo;Leslie 145;1.00
Triple Rotary;Mono, Stereo;Yamaha RA-200 rotary speaker;3.60
Retro Reel;Mono;Line 6 Original;3.10
Double Take;Mono, Stereo;Line 6 Original;2.30
Poly Detune †;Mono;Line 6 Original;3.00
AM Ring Mod;Mono, Stereo;Line 6 Original;1.00
Pitch Ring Mod;Stereo;Line 6 Original;1.00
Simple Delay;Mono, Stereo;Line 6 Original;1.00
Mod/Chorus Echo;Mono, Stereo;Line 6 Original;1.00
Dual Delay;Stereo;Line 6 Original;1.04
Multitap 4;Stereo;Line 6 Original;1.00
Multitap 6;Stereo;Line 6 Original;1.00
Ping Pong;Stereo;Line 6 Original;1.00
Sweep Echo;Mono, Stereo;Line 6 Original;1.00
Ducked Delay;Mono, Stereo;TC Electronic 2290;1.00
Reverse Delay;Mono, Stereo;Line 6 Original;1.04
Vintage Digital;Mono, Stereo;Line 6 Original;2.00
Vintage Swell;Mono, Stereo;Line 6 Original;2.20
Pitch Echo;Mono, Stereo;Line 6 Original;2.10
Transistor Tape;Mono, Stereo;Maestro Echoplex EP-3;1.00
Cosmos Echo;Mono, Stereo;Roland RE-201 Space Echo;2.30
Harmony Delay;Stereo;Line 6 Original;1.00
Bucket Brigade;Mono, Stereo;BOSS DM-2;1.00
Adriatic Delay;Mono, Stereo;BOSS DM-2 w/ Adrian Mod;1.00
Adriatic Swell;Mono, Stereo;Line 6 Original;2.20
Elephant Man;Mono, Stereo;Electro-Harmonix Deluxe Memory Man;1.00
Multi Pass;Mono, Stereo;Line 6 Original;2.50
Heliosphere;Mono, Stereo;Line 6 Original;3.15
Poly Sustain †;Mono;Line 6 Original;3.00
Glitch Delay;Mono, Stereo;Line 6 Original;3.00
Euclidean Delay;Mono, Stereo;Line 6 Original;3.10
ADT;Mono, Stereo;Line 6 Original automatic double tracker;3.15
Crisscross;Mono, Stereo;Line 6 Original dual delay with crossfeed;3.15
Tesselator;Mono, Stereo;Line 6 Original;3.15
Ratchet;Mono, Stereo;Line 6 Original;3.15
Pitch Wham;Mono, Stereo;Digitech® Whammy®;1.00
Twin Harmony;Mono, Stereo;Eventide® H3000;1.00
Simple Pitch;Mono, Stereo;Line 6 Original;1.06
Dual Pitch;Mono, Stereo;Line 6 Original;1.06
Boctaver;Mono, Stereo;BOSS® OC-2 Octaver;3.50
3 Note Generator ‡;Mono, Stereo;Line 6 Original;2.20
4 OSC Generator ‡;Mono, Stereo;Line 6 Original;2.20
3 OSC Synth;Stereo;Line 6 Original;1.00
Poly Pitch†;Mono;Line 6 Original;3.00
Poly Wham†;Mono;Line 6 Original;3.00
Poly Capo†;Mono;Line 6 Original;3.00
12 String†;Mono;Line 6 Original;3.00
Mutant Filter;Mono, Stereo;Musitronics® Mu-Tron III;1.00
Mystery Filter;Mono, Stereo;Korg A3;1.00
Autofilter;Mono, Stereo;Line 6 Original;1.06
Asheville Pattrn;Mono, Stereo;Moog® Moogerfooger® MF-105M MuRF Filter;2.80
UK Wah 846;Mono, Stereo;Vox V846;1.00
Teardrop 310;Mono, Stereo;Dunlop® Cry Baby® Fasel model 310;1.00
Fassel;Mono, Stereo;Dunlop Cry Baby Super;1.00
Weeper;Mono, Stereo;Arbiter Cry Baby;1.00
Chrome;Mono, Stereo;Vox V847;1.00
Chrome Custom;Mono, Stereo;Modded Vox V847;1.00
Throaty;Mono, Stereo;RMC® Real McCoy 1;1.00
Vetta Wah;Mono, Stereo;Line 6 Original;1.00
Colorful;Mono, Stereo;Colorsound Wah-fuzz;1.00
Conductor;Mono, Stereo;Maestro® Boomerang;1.00
Teardrop Bass Q;Mono, Stereo;Line 6 Original;3.80
Volume Pedal;Mono, Stereo;Line 6 Original;1.00
Gain;Mono, Stereo;Line 6 Original;1.00
Pan;Stereo;Line 6 Original;1.00
Stereo Width;Stereo;Line 6 Original;2.30
Stereo Imager;Stereo;Line 6 Original;3.00
6 Switch Looper;Mono, Stereo;Line 6 Original;1.00
1 Switch Looper;Mono, Stereo;Line 6 Original;2.60
Shuffling Looper;Mono, Stereo;Line 6 Original;3.00
