Name;Subcategory;Based on;Initial Appearance
Moo)))n Brt;Guitar;Sunn Model T (bright channel);3.50
Moo)))n Jump;Guitar;Sunn Model T (jumped);3.50
Brit J45 Nrm;Guitar;Marshall® JTM-45 (normal channel);1.00
Brit J45 Brt;Guitar;Marshall JTM-45 (bright channel);1.00
Brit Trem Nrm;Guitar;Marshall JTM-50 (normal channel);2.30
Brit Trem Brt;Guitar;Marshall JTM-50 (bright channel);2.30
Brit Trem Jump;Guitar;Marshall JTM-50 (jumped);2.30
Brit Plexi Nrm;Guitar;Marshall Super Lead 100 (normal channel);1.00
Brit Plexi Brt;Guitar;Marshall Super Lead 100 (bright channel);1.00
Brit Plexi Jump;Guitar;Marshall Super Lead 100 (jumped);1.00
Brit P75 Nrm;Guitar;Park® 75 (normal channel);1.00
Brit P75 Brt;Guitar;Park 75 (bright channel);1.00
Brit 2203;Guitar;Marshall JCM-800 (100 watt);3.70
Brit 2204;Guitar;Marshall JCM-800 (50 watt);1.00
Placater Clean;Guitar;Friedman BE-100 (clean channel);2.60
Placater Dirty;Guitar;Friedman BE-100 (BE/HBE channel);2.50
Cartographer;Guitar;Ben Adrian Cartographer;2.30
German Xtra Blue;Guitar;Bogner Ecstasy 101B (EL34) Blue channel;3.80
German Xtra Red;Guitar;Bogner Ecstasy 101B (EL4) Red channel;3.80
German Mahadeva;Guitar;Bogner® Shiva;1.00
German Ubersonic;Guitar;Bogner Überschall®;1.00
Cali Texas Ch 1;Guitar;MESA/Boogie® Lone Star (clean channel);2.60
Cali Texas Ch 2;Guitar;MESA/Boogie Lone Star (drive channel);2.50
Cali IV Rhythm 1;Guitar;MESA/Boogie Mark IV (channel I);2.00
Cali IV Rhythm 2;Guitar;MESA/Boogie Mark IV (channel II);2.00
Cali IV Lead;Guitar;MESA/Boogie Mark IV (lead channel);2.00
Cali Rectifire;Guitar;MESA/Boogie Dual Rectifier®;1.00
Archetype Clean;Guitar;Paul Reed Smith® Archon® (clean channel);2.10
Archetype Lead;Guitar;Paul Reed Smith Archon (lead channel);2.10
ANGL Meteor;Guitar;ENGL® Fireball 100;1.00
Solo Lead Clean;Guitar;Soldano SLO-100 (clean channel);1.00
Solo Lead Crunch;Guitar;Soldano SLO-100 (crunch channel);1.00
Solo Lead OD;Guitar;Soldano SLO-100 (overdrive channel);1.00
EV Panama Blue;Guitar;EVH 5150III 100 [6L6] Blue channel;3.80
EV Panama Red;Guitar;EVH 5150III 100 [6L6] Red channel;3.80
PV Panama;Guitar;Peavey® 5150®;1.00
PV Vitriol Clean;Guitar;Peavey Invective (clean channel);3.70
PV VitriolCrunch;Guitar;Peavey Invective (crunch channel);3.50
PV Vitriol Lead;Guitar;Peavey Invective (lead channel);3.50
Revv Gen Purple;Guitar;Revv® Generator 120 (purple/gain ch. 3);2.90
Revv Gen Red;Guitar;Revv Generator 120 (red/high gain ch. 4);2.80
Das Benzin Mega;Guitar;Diezel VH4 (mega chanel);3.00
Das Benzin Lead;Guitar;Diezel VH4 (lead chanel);3.00
Line 6 Clarity;Guitar;Line 6 Original Amp Design;3.70
Line 6 Aristocrat;Guitar;Line 6 Original Amp Design;3.70
Line 6 Carillon;Guitar;Line 6 Original Amp Design;3.70
Line 6 Voltage;Guitar;Line 6 Original Amp Design;3.70
Line 6 Kinetic;Guitar;Line 6 Original Amp Design;3.70
Line 6 Oblivion;Guitar;Line 6 Original Amp Design;3.70
Line 6 Ventoux;Guitar;Line 6 Original Amp Design;3.15
Line 6 Elmsley;Guitar;Line 6 Original Amp Design;3.60
Line 6 Elektrik;Guitar;Line 6 Original Amp Design;1.00
Line 6 Doom;Guitar;Line 6 Original Amp Design;1.00
Line 6 Epic;Guitar;Line 6 Original Amp Design;1.00
Line 6 2204 Mod;Guitar;Line 6 Original Amp Design;2.00
Line 6 Fatality;Guitar;Line 6 Original Amp Design;2.00
Line 6 Litigator;Guitar;Line 6 Original Amp Design;2.10
Line 6 Badonk;Guitar;Line 6 Original Amp Design;2.20
Ampeg B-15NF;Bass;Ampeg® B-15NF Portaflex®;1.00
Ampeg SVT Nrm;Bass;Ampeg SVT® (normal channel);1.00
Ampeg SVT Brt;Bass;Ampeg SVT (bright channel);1.00
Ampeg SVT-4 PRO;Bass;Ampeg SVT-4 PRO;2.80
US Dripman Norm;Bass;Fender Bassman (Silver Panel);3.70
Woody Blue;Bass;Acoustic® 360;2.20
Agua Sledge;Bass;Aguilar® Tone Hammer;3.60
Agua 51;Bass;Aguilar® DB51;2.30
Mandarin Bass200;Bass;Orange AD200 MkIII;3.70
Cali Bass;Bass;MESA/Boogie M9 Carbine;1.00
Cali 400 Ch1;Bass;MESA/Boogie Bass 400+ (channel 1);1.00
Cali 400 Ch2;Bass;MESA/Boogie Bass 400+ (channel 2);1.00
G Cougar 800;Bass;Gallien-Krueger® GK 800RB;1.00
Del Sol 300;Bass;Sunn® Coliseum 300;2.20
Busy One Ch1;Bass;Pearce BC-1 preamp (channel 1);2.20
Busy One Ch2;Bass;Pearce BC-1 preamp (channel 2);2.20
Busy One Jump;Bass;Pearce BC-1 preamp (jumped);2.20
Studio Tube Pre;Preamp > Mic;Requisite Y7 mic preamp;1.00
Soup Pro Ellipse;Single, Dual;1x6x9″ Supro® S6616;3.70
1x8 Small Tweed;Single, Dual;1×8″ Fender® Champ;3.70
1x10 US Princess;Single, Dual;"1x10"" Fender Princeton Reverb";3.50
1x12 Fullerton;Single, Dual;"1x12"" Fender® 5C3 Tweed Deluxe";3.70
1x12 Grammatico;Single, Dual;"1x12"" Grammatico LaGrange";3.50
1x12 US Deluxe;Single, Dual;"1x12"" Fender Deluxe Oxford";3.50
1x12 Open Cast;Single, Dual;"1x12"" custom open-back EVM12L";3.60
1x12 Open Cream;Single, Dual;"1x12"" custom open-back G12M-65";3.60
1x12 Cali EXT;Single, Dual;"1x12"" Mesa Boogie Extension Cab";3.50
1x12 Cali IV;Single, Dual;"1x12"" MESA/Boogie® Mk IV combo";3.70
1x12 Blue Bell;Single, Dual;"1×12"" Vox® AC-15 Blue Alnico";3.60
2x12 Blue Bell;Single, Dual;"2x12"" Vox AC-30 Fawn Blue";3.50
2x12 Silver Bell;Single, Dual;"2×12"" Vox AC-30TB Silver Alnico";3.60
2x12 Match H30;Single, Dual;"2x12"" Matchless® DC-30 custom G12H-30";3.60
2x12 Match G25;Single, Dual;"2x12"" Matchless DC-30 custom G12M-25";3.60
2x12 Double C12N;Single, Dual;"2x12"" Fender Twin C12N";3.50
2x12 Interstate;Single, Dual;2×12″ Dr Z® Z Best V30;3.70
2x12 Jazz Rivet;Single, Dual;"2x12"" Roland JC-120";3.50
2x12 Mail C12Q;Single, Dual;"2x12"" Silvertone 1484";3.50
2x12 Mandarin 30;Single, Dual;"2x12"" Orange PPC212 V30";3.50
4x10 Tweed P10R;Single, Dual;"4x10"" Fender Bassman P10R";3.50
4x10 US Super;Single, Dual;Fender Super Reverb;3.80
4x12 WhoWatt 100;Single, Dual;4x12″ Hiwatt® AP Fane®;3.70
4x12 Greenback 25;Single, Dual;4x12” Marshall Basketweave G12 M25;3.50
4x12 Greenback 30;Single, Dual;4×12″ Marshall® Basketweave G12H-30;3.70
4x12 Greenback 20;Single, Dual;"4×12"" Marshall® “basketweave” G12M-20";3.60
4x12 1960 T75;Single, Dual;"4x12"" Marshall 1960 AT75";3.50
4x12 Blackback 30;Single, Dual;4x12” Park 75 G12 H30;3.50
4x12 Brit V30;Single, Dual;Marshall® 1960AV V30;3.50
4x12 Cali V30;Single, Dual;"4x12"" MESA/Boogie 4FB V30";3.50
4x12 Mandarin EM;Single, Dual;"4x12"" Orange Eminence";3.50
4x12 MOO)))N T75;Single, Dual;"4x12"" Sunn Cab w/G75T";3.50
4x12 Cartog Guv;Single, Dual;“Cartographer” modified Lee Jackson 4x12 cabinet w/ Eminence Governor;3.80
4x12 Cartog C90;Single, Dual;“Cartographer” modified Lee Jackson 4x12 cabinet w/ Mesa C90;3.80
4x12 Uber T75;Single, Dual;"4x12"" Bogner Uberkab T75";3.50
4x12 Uber V30;Single, Dual;"4x12"" Bogner Uberkab V30";3.50
4x12 XXL V30;Single, Dual;"4x12"" ENGL XXL V30";3.50
4x12 SoloLead EM;Single, Dual;Soldano SLO 4x12 cabinet;3.80
1x12 Epicenter;Single, Dual;"1x12"" Epifani® Ultralight series";3.60
1x15 Ampeg B-15;Single, Dual;"1x15"" Ampeg B-15";3.50
2x15 Brute;Single, Dual;"2x15"" MESA/Boogie 2x15 EV";3.50
2x15 US Dripman;Single, Dual;"2x15"" Fender® Bassman JBL D130";3.70
4x10 Garden;Single, Dual;"4x10"" Eden D410XLT";3.50
4x10 Ampeg Pro;Single, Dual;"4x10"" Ampeg® PR-410HLF";3.60
6x10 Cali Power;Single, Dual;6×10″ MESA/Boogie® Power House;3.70
8x10 SVT AV;Single, Dual;Ampeg® SVT® 810AV Heritage Edition;3.50
Soup Pro Ellipse;Legacy;"1 x 6x9"" Supro S6616";1.00
1x8 Small Tweed;Legacy;"1x8"" Fender Champ";1.00
1x10 US Princess;Legacy;"1x10"" Fender Princeton Reverb";3.00
1x12 Field Coil;Legacy;"1x12"" Gibson EH185";1.00
1x12 Fullerton;Legacy;"1x12"" Fender 5C3 Tweed Deluxe";2.90
1x12 Grammatico;Legacy;"1x12"" Grammatico LaGrange";2.90
1x12 US Deluxe;Legacy;"1x12"" Fender Deluxe Oxford";1.00
1x12 US Princess;Legacy;"1x12"" Fender Princeton Reverb";3.00
1x12 Celest 12H;Legacy;"1x12"" ÷13 JRT 9/15 G12 H30";1.00
1x12 Blue Bell;Legacy;"1x12"" Vox AC-15 Blue";1.00
1x12 Lead 80;Legacy;"1x12"" Bogner Shiva CL80";1.00
1x12 Cali IV;Legacy;"1x12"" MESA/Boogie Mk IV";2.20
1x12 Cali Ext;Legacy;"1x12"" MESA/Boogie EVM12L";2.20
2x12 Double C12N;Legacy;"2x12"" Fender Twin C12N";1.00
2x12 Mail C12Q;Legacy;"2x12"" Silvertone 1484";1.00
2x12 Interstate;Legacy;"2x12"" Dr Z Z Best V30";1.00
2x12 Jazz Rivet;Legacy;"2x12"" Roland JC-120";1.00
2x12 Silver Bell;Legacy;"2x12"" Vox AC-30TB Silver";1.00
2x12 Blue Bell;Legacy;"2x12"" Vox AC-30 Fawn Blue";1.00
2x12 Match H30;Legacy;"1x12"" Matchless DC-30 G12H30";2.20
2x12 Match G25;Legacy;"1x12"" Matchless DC-30 Greenback 25";2.20
4x10 Tweed P10R;Legacy;"4x10"" Fender Bassman P10R";1.00
4x12 WhoWatt 100;Legacy;"4x12"" Hiwatt AP Fane®";1.00
4x12 Mandarin EM;Legacy;"4x12"" Orange Eminence";1.00
4x12 Greenback 25;Legacy;4x12” Marshall Basketweave G12 M25;1.00
4x12 Greenback 20;Legacy;"4x12"" Marshall Basketweave G12 M20";1.00
4x12 Blackback 30;Legacy;4x12” Park 75 G12 H30;1.00
4x12 1960 T75;Legacy;"4x12"" Marshall 1960 AT75";1.00
4x12 Uber V30;Legacy;"4x12"" Bogner Uberkab V30";1.00
4x12 Uber T75;Legacy;"4x12"" Bogner Uberkab T75";1.00
4x12 Cali V30;Legacy;"4x12"" MESA/Boogie 4FB V30";1.00
4x12 XXL V30;Legacy;"4x12"" ENGL XXL V30";1.00
4x12 SoloLead EM;Legacy;"4x12"" Soldano";1.00
1x12 Del Sol;Legacy;"1x12"" Sunn Coliseum";2.20
1x15 Ampeg B-15;Legacy;"1x15"" Ampeg B-15";1.00
1x18 Del Sol;Legacy;"1x18"" Sunn Coliseum";2.20
1x18 Woody Blue;Legacy;"1x18"" Acoustic 360";2.20
2x15 Brute;Legacy;"2x15"" MESA/Boogie 2x15 EV";1.00
4x10 Ampeg HLF;Legacy;"4x10"" Ampeg SVT® 410HLF";1.00
6x10 Cali Power;Legacy;"6x10"" MESA/Boogie Power House";1.00
8x10 Ampeg SVT E;Legacy;"8x10"" Ampeg SVT";1.00
Kinky Boost;Mono, Stereo;Xotic® EP Booster;2.30
Deranged Master;Mono, Stereo;Dallas Rangemaster Treble Booster;2.60
Minotaur;Mono, Stereo;Klon® Centaur;1.00
Teemah!;Mono, Stereo;Paul Cochrane Timmy® Overdrive;1.06
Heir Apparent;Mono, Stereo;Analogman Prince of Tone;2.80
Tone Sovereign;Mono, Stereo;Analogman King of Tone;2.80
Alpaca Rouge;Mono, Stereo;Way Huge® Red Llama (modded);2.90
Compulsive Drive;Mono, Stereo;Fulltone® OCD;1.00
Dhyana Drive;Mono, Stereo;Hermida Zendrive;2.80
Horizon Drive;Mono, Stereo;Horizon Precision Drive;3.00
Valve Driver;Mono, Stereo;Chandler Tube Driver;1.00
Top Secret OD;Mono, Stereo;DOD® OD-250;1.00
Prize Drive;Mono, Stereo;Nobels ODR-1;3.70
Scream 808;Mono, Stereo;Ibanez® TS808 Tube Screamer®;1.00
Pillars OD;Mono, Stereo;Earthquaker Devices Plumes distortion;3.50
Hedgehog D9;Mono, Stereo;MAXON® SD9 Sonic Distortion;1.00
Stupor OD;Mono, Stereo;BOSS® SD-1 Overdrive;2.10
Deez One Vintage;Mono, Stereo;BOSS DS-1 Distortion (Made-in-Japan);2.60
Deez One Mod;Mono, Stereo;BOSS DS-1 Distortion (Keeley modded);2.60
Ratatouille Dist;Mono, Stereo;Pro Co RAT;3.10
Vermin Dist;Mono, Stereo;Pro Co RAT;1.00
Vital Dist;Mono, Stereo;Earthquaker Devices Life pedal (distortion side);3.50
Vital Boost;Mono, Stereo;Earthquaker Devices Life pedal (boost side);3.50
KWB;Mono, Stereo;Benadrian Kowloon Walled Bunny Distortion;1.06
Legendary Drive;Mono, Stereo;Carvin® VLD1 Legacy Drive (hi gain channel);2.90
Swedish Chainsaw;Mono, Stereo;Boss HM-2 Heavy Metal Distortion (MIJ);3.00
Arbitrator Fuzz;Mono, Stereo;Arbiter® FuzzFace®;1.00
Pocket Fuzz;Mono, Stereo;Jordan Boss Tone Fuzz;3.00
Bighorn Fuzz;Mono, Stereo;'73 Electro-Harmonix® Ram's Head Big Muff Pi®;3.00
Triangle Fuzz;Mono, Stereo;Electro-Harmonix Big Muff Pi;1.00
Dark Dove Fuzz;Mono, Stereo;Electro-Harmonix® Russian Big Muff;3.60
Ballistic Fuzz;Mono, Stereo;Euthymia ICBM Fuzz;3.00
Industrial Fuzz;Mono, Stereo;Z.Vex Fuzz Factory;1.00
Tycoctavia Fuzz;Mono, Stereo;Tycobrahe® Octavia;1.00
Wringer Fuzz;Mono, Stereo;Garbage’s modded BOSS FZ-2;2.00
Thrifter Fuzz;Mono, Stereo;Line 6 Original;2.30
Xenomorph Fuzz;Mono, Stereo;Subdecay Harmonic Antagonizer;2.90
Megaphone;Mono, Stereo;Megaphone;1.00
Bitcrusher;Mono, Stereo;Line 6 Original;1.06
Ampeg Scrambler;Mono, Stereo;Ampeg Scrambler Bass Overdrive;2.80
ZeroAmp Bass DI;Mono, Stereo;Tech 21 SansAmp Bass Driver DI V1;2.80
Regal Bass DI;Mono, Stereo;Noble Preamp bass DI;3.70
Obsidian 7000;Mono, Stereo;Darkglass® Electronics Microtubes® B7K Ultra;2.20
Clawthorn Drive;Mono, Stereo;Wounded Paw Battering Ram;2.20
Tube Drive;Legacy;Chandler Tube Driver;2.50
Screamer;Legacy;Ibanez Tube Screamer;2.50
Overdrive;Legacy;DOD Overdrive/Preamp 250;2.50
Classic Dist;Legacy;ProCo RAT;2.50
Heavy Dist;Legacy;BOSS Metal Zone;2.50
Colordrive;Legacy;Colorsound® Overdriver;2.50
Buzz Saw;Legacy;Maestro® Fuzz Tone;2.50
Facial Fuzz;Legacy;Arbiter Fuzz Face®;2.50
Jumbo Fuzz;Legacy;Vox Tone Bender;2.50
Fuzz Pi;Legacy;Electro-Harmonix Big Muff Pi;2.50
Jet Fuzz;Legacy;Roland Jet Phaser;2.50
L6 Drive;Legacy;Colorsound Overdriver (modded);2.50
L6 Distortion;Legacy;Line 6 Original;2.50
Sub Oct Fuzz;Legacy;PAiA Roctave Divider;2.50
Octave Fuzz;Legacy;Tycobrahe Octavia;2.50
Bronze Master;Legacy;Maestro® Bass Brassmaster;3.15
Killer Z;Legacy;BOSS® Metal Zone MT-2;3.15
Simple EQ;Mono, Stereo;Line 6 Original;1.00
Low and High Cut;Mono, Stereo;Line 6 Original;1.00
Low/High Shelf;Mono, Stereo;Line 6 Original;2.80
Parametric;Mono, Stereo;Line 6 Original;1.00
Tilt;Mono, Stereo;Line 6 Original;2.80
10 Band Graphic;Mono, Stereo;MXR 10-Band Graphic EQ;1.00
Cali Q Graphic;Mono, Stereo;MESA/Boogie Mark IV Graphic EQ;2.00
Acoustic Sim;Mono, Stereo;Line 6 Original;3.00
Deluxe Comp;Mono, Stereo;Line 6 Original;1.00
Red Squeeze;Mono, Stereo;MXR® Dyna Comp;1.00
Kinky Comp;Mono, Stereo;Xotic SP Compressor;2.30
Ampeg Opto Comp;Mono, Stereo;Ampeg Octo Comp compressor;3.15
Rochester Comp;Mono, Stereo;Ashly® CLX-52 (in conjunction w/ B. Sheehan);2.90
LA Studio Comp;Mono, Stereo;Teletronix® LA-2A®;1.00
3-Band Comp;Mono, Stereo;Line 6 Original;2.20
Noise Gate;Mono, Stereo;Line 6 Original;1.00
Hard Gate;Mono, Stereo;Line 6 Original;1.00
Horizon Gate;Mono, Stereo;Horizon Precision Drive - Gate Circuit;3.00
Autoswell;Mono, Stereo;Line 6 Original;2.20
Feedbacker;Mono, Stereo;Line 6 Original;3.70
Tube Comp;Legacy;Teletronix LA-2A;2.50
Red Comp;Legacy;MXR Dyna Comp;2.50
Blue Comp;Legacy;BOSS CS-1;2.50
Blue Comp Treb;Legacy;BOSS CS-1 (Treble switch on);2.50
Vetta Comp;Legacy;Line 6 Original;2.50
Vetta Juice;Legacy;Line 6 Original;2.50
Boost Comp;Legacy;MXR Micro Amp;2.50
Dynamic Hall;Mono, Stereo;Line 6 Original;3.10
Dynamic Plate;Mono, Stereo;Line 6 Original;3.15
Dynamic Room;Mono, Stereo;Line 6 Original;3.15
Dynamic Ambience;Mono, Stereo;Line 6 Original;3.50
Dynamic Bloom;Mono, Stereo;Line 6 Original;3.70
Shimmer;Mono, Stereo;Line 6 Original;3.15
Hot Springs;Mono, Stereo;Line 6 Original;3.10
Nonlinear;Mono, Stereo;Line 6 Original;3.70
Glitz;Mono, Stereo;Line 6 Original;2.50
Ganymede;Mono, Stereo;Line 6 Original;2.50
Searchlights;Mono, Stereo;Line 6 Original;2.50
Plateaux;Mono, Stereo;Line 6 Original;2.50
Double Tank;Mono, Stereo;Line 6 Original;2.50
Plate;Legacy;Line 6 Original;1.00
Room;Legacy;Line 6 Original;1.00
Chamber;Legacy;Line 6 Original;1.00
Hall;Legacy;Line 6 Original;1.00
Echo;Legacy;Line 6 Original;1.00
Tile;Legacy;Line 6 Original;1.00
Cave;Legacy;Line 6 Original;1.00
Ducking;Legacy;Line 6 Original;1.00
Octo;Legacy;Line 6 Original;1.00
'63 Spring;Legacy;Line 6 Original;1.00
Spring;Legacy;Line 6 Original;1.00
Particle Verb;Legacy;Line 6 Original;1.00
Optical Trem;Mono, Stereo;Fender optical tremolo circuit;1.00
60s Bias Trem;Mono, Stereo;Vox AC-15 Tremolo;1.00
Tremolo/Autopan;Mono, Stereo;BOSS PN-2;1.06
Harmonic Tremolo;Mono, Stereo;Line 6 Original;2.00
Bleat Chop Trem;Mono, Stereo;Lightfoot Labs Goatkeeper;2.30
Script Mod Phase;Mono, Stereo;MXR Phase 90;1.00
Pebble Phaser;Mono, Stereo;Electro-Harmonix Small Stone;2.90
Ubiquitous Vibe;Mono, Stereo;Shin-ei Uni-Vibe®;1.00
FlexoVibe;Mono, Stereo;Line 6 Original;3.50
Deluxe Phaser;Mono, Stereo;Line 6 Original;1.06
Gray Flanger;Mono, Stereo;MXR 117 Flanger;1.00
Harmonic Flanger;Mono, Stereo;A/DA Flanger;1.00
Courtesan Flange;Mono, Stereo;Electro-Harmonix Deluxe EM;1.00
Dynamix Flanger;Mono, Stereo;Line 6 Original;1.06
Chorus;Mono, Stereo;Line 6 Original;1.00
70s Chorus;Mono, Stereo;BOSS CE-1;1.00
PlastiChorus;Mono, Stereo;Modded Arion SCH-Z chorus;2.20
Ampeg Liquifier;Mono, Stereo;Ampeg Liquifier Chorus;3.15
Trinity Chorus;Stereo;Dytronics® Tri-Stereo Chorus;1.00
4-Voice Chorus;Mono, Stereo;Line 6 Original;3.50
Bubble Vibrato;Mono, Stereo;BOSS VB-2 Vibrato;1.00
Vibe Rotary;Stereo;Fender Vibratone;1.00
122 Rotary;Stereo;Leslie® 122;1.00
145 Rotary;Stereo;Leslie 145;1.00
Triple Rotary;Mono, Stereo;Yamaha RA-200 rotary speaker;3.60
Retro Reel;Mono;Line 6 Original;3.10
Double Take;Mono, Stereo;Line 6 Original;2.30
Poly Detune ;Mono;Line 6 Original;3.00
AM Ring Mod;Mono, Stereo;Line 6 Original;1.00
Pitch Ring Mod;Stereo;Line 6 Original;1.00
Pattern Tremolo;Legacy;Lightfoot Labs Goatkeeper;2.50
Panner;Legacy;Line 6 Original;2.50
Bias Tremolo;Legacy;1960 Vox AC-15 Tremolo;2.50
Opto Tremolo;Legacy;1964 Fender Deluxe Reverb®;2.50
Script Phase;Legacy;MXR Phase 90 (script logo version);2.50
Panned Phaser;Legacy;Ibanez Flying Pan;2.50
Barberpole;Legacy;Line 6 Original;2.50
Dual Phaser;Legacy;Mu-Tron® Bi-Phase;2.50
U-Vibe;Legacy;Shin-ei Uni-Vibe®;2.50
Phaser;Legacy;MXR Phase 90;2.50
Pitch Vibrato;Legacy;BOSS VB-2;2.50
Dimension;Legacy;Roland Dimension D;2.50
Analog Chorus;Legacy;BOSS CE-1;2.50
Tri Chorus;Legacy;Dytronics Tri-Stereo Chorus;2.50
Analog Flanger;Legacy;MXR Flanger;2.50
Jet Flanger;Legacy;A/DA Flanger;2.50
AC Flanger;Legacy;MXR Flanger;2.50
80A Flanger;Legacy;A/DA Flanger;2.50
Frequency Shift;Legacy;Line 6 Original;2.50
Ring Modulator;Legacy;Line 6 Original;2.50
Rotary Drum;Legacy;Fender Vibratone;2.50
Rotary Drum/Horn;Legacy;Leslie 145;2.50
Tape Eater;Legacy;Line 6 Original;3.15
Warble Matic;Legacy;Line 6 Original;3.15
Random S&H;Legacy;Line 6 Original;3.15
Sweeper;Legacy;Line 6 Original;3.15
Simple Delay;Mono, Stereo;Line 6 Original;1.00
Mod/Chorus Echo;Mono, Stereo;Line 6 Original;1.00
Dual Delay;Stereo;Line 6 Original;1.04
Multitap 4;Stereo;Line 6 Original;1.00
Multitap 6;Stereo;Line 6 Original;1.00
Ping Pong;Stereo;Line 6 Original;1.00
Sweep Echo;Mono, Stereo;Line 6 Original;1.00
Ducked Delay;Mono, Stereo;TC Electronic 2290;1.00
Reverse Delay;Mono, Stereo;Line 6 Original;1.04
Vintage Digital;Mono, Stereo;Line 6 Original;2.00
Vintage Swell;Mono, Stereo;Line 6 Original;2.20
Pitch Echo;Mono, Stereo;Line 6 Original;2.10
Transistor Tape;Mono, Stereo;Maestro Echoplex EP-3;1.00
Cosmos Echo;Mono, Stereo;Roland RE-201 Space Echo;2.30
Harmony Delay;Stereo;Line 6 Original;1.00
Bucket Brigade;Mono, Stereo;BOSS DM-2;1.00
Adriatic Delay;Mono, Stereo;BOSS DM-2 w/ Adrian Mod;1.00
Adriatic Swell;Mono, Stereo;Line 6 Original;2.20
Elephant Man;Mono, Stereo;Electro-Harmonix Deluxe Memory Man;1.00
Multi Pass;Mono, Stereo;Line 6 Original;2.50
Heliosphere;Mono, Stereo;Line 6 Original;3.15
Poly Sustain ;Mono;Line 6 Original;3.00
Glitch Delay;Mono, Stereo;Line 6 Original;3.00
Euclidean Delay;Mono, Stereo;Line 6 Original;3.10
ADT;Mono, Stereo;Line 6 Original automatic double tracker;3.15
Crisscross;Mono, Stereo;Line 6 Original dual delay with crossfeed;3.15
Tesselator;Mono, Stereo;Line 6 Original;3.15
Ratchet;Mono, Stereo;Line 6 Original;3.15
Ping Pong;Legacy;Line 6 Original;2.50
Dynamic;Legacy;TC Electronic 2290;2.50
Stereo;Legacy;Line 6 Original;2.50
Digital;Legacy;Line 6 Original;2.50
Dig w/Mod;Legacy;Line 6 Original;2.50
Reverse;Legacy;Line 6 Original;2.50
Lo Res;Legacy;Line 6 Original;2.50
Tube Echo;Legacy;Maestro Echoplex EP-1;2.50
Tape Echo;Legacy;Maestro Echoplex EP-3;2.50
Sweep Echo;Legacy;Line 6 Original;2.50
Echo Platter;Legacy;Binson® EchoRec®;2.50
Analog Echo;Legacy;BOSS DM-2;2.50
Analog w/Mod;Legacy;Electro-Harmonix Deluxe Memory Man;2.50
Auto-Volume Echo;Legacy;Line 6 Original;2.50
Multi-Head;Legacy;Roland RE-101 Space Echo;2.50
Phaze Eko;Legacy;Line 6 Original;3.15
Bubble Echo;Legacy;Line 6 Original;3.15
Pitch Wham;Mono, Stereo;Digitech® Whammy®;1.00
Twin Harmony;Mono, Stereo;Eventide® H3000;1.00
Simple Pitch;Mono, Stereo;Line 6 Original;1.06
Dual Pitch;Mono, Stereo;Line 6 Original;1.06
Boctaver;Mono, Stereo;BOSS® OC-2 Octaver;3.50
3 Note Generator;Mono, Stereo;Line 6 Original;2.20
